cnpj,gtin,city,state,name,description
17467515000107,7896005804360,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAPPUCCINO PRONTO 3 CORAÇÕES CHOCOLATE
61193496000151,7891048036037,SAO PAULO,SP,DR. OETKER BRASIL LTDA.,CHÁ DE CARQUEJA COM 15 SACHÊS DR. OETKER 15G
1125487000100,7897938903151,MARINGA,PR,ISPL - INDUSTRIA SULAMERICANA DE PRODUTOS DE LIMPEZA LTDA,LAVA CALCINHA SOFT PLUS 300ML
60498706000157,7896036096697,SAO PAULO,SP,CARGILL AGRICOLA S A,"EXTRATO TOMATE ELEFANTE TP 1,"
61193496000151,7891048051054,SAO PAULO,SP,DR. OETKER BRASIL LTDA.,MARIA MOLE DR.OETKER COCO
52034139000150,7896003704174,MARILIA,SP,MARILAN ALIMENTOS S/A,BISCOITO MARILAN AMANT. INTEGRAL CHOCOLATE.
33122466000119,7894650120026,RIO DE JANEIRO,RJ,CERAS JOHNSON LTDA,LAVA ROUPA LÍQUIDO ROMA COCO 500ML
60409075000152,7891000114384,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLE IOG.NINHO SOLEI PLOC 250G FRUTI UVA
60409075000152,7891000114384,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESTLE IOG.NINHO SOLEI PLOC 250G FRUTI UVA
31565104000177,7892840800406,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
55630289000114,7896214532856,ITATIBA,SP,HERO BRASIL S.A.,GELÉIA DE JABUTICABA COM AMORA QUEENSBERRY 320G
78860863000126,7896327501114,CHAPECO,SC,APTI ALIMENTOS LTDA,SAGU APTI 250GR MORANGO
24353832000150,7898937864429,JUNDIAI,SP,FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMENTICIOS S/A,MAIONESE KISABOR ALHO E ERVAS PT
70940994000101,7891962052250,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,BISC.BAUDUCCO LEITE NATAL 115G
52123916000132,7896058501407,MARILIA,SP,DORI ALIMENTOS S.A.,BALA DORI GOMAS SORTIDAS
13324184000197,78913554,SAO PAULO,SP,VIGOR ALIMENTOS S.A,LEITE FERMENTO.BATAVINHO CLUB
33040122000160,7896024723055,RIO DE JANEIRO,RJ,INDUSTRIA DE PRODUTOS ALIMENTICIOS PIRAQUE S A,BISCOITO MAIZENA INTEGRAL 200G
8505736000123,7897664169548,SAO PAULO,SP,FLORA PRODUTOS DE HIGIENE E LIMPEZA S.A,KOLENE SEM ENXAGUE OLEO DE OLIVA
2338823000157,7898192034001,SAO PAULO,SP,WOW NUTRITION INDUSTRIA E COMERCIO S.A - EM RECUPERACAO JUDICIAL,SUCO SUFRESH12/1
4892455000110,7896791902653,SETE LAGOAS,MG,TREVO LACTEOS S.A.,IOG GREGO APRECIARE ZERO 100G MARACUJA
7526557000100,7891149104109,SAO PAULO,SP,AMBEV S.A.,CERVEJA BRAHMA
1131570000183,7898929988317,JAGUARIUNA,SP,CERVEJARIA ZX S.A.,CERVEJA WALS WHITE - GRF
50564053000880,7891022856279,SAO BERNARDO DO CAMPO,SP,BOMBRIL S/A,"LAVA ROUPAS M.BIJOU 1,5L COCO"
60409075000152,7891000107041,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE CONDENSADO MOCA LIGHT
60409075000152,7891000107041,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE CONDENSADO MOCA LIGHT
60409075000152,7891000103272,SAO PAULO,SP,NESTLE BRASIL LTDA.,CHOCOLATE ALPINO NESTLÉ 150G
60409075000152,7891000103272,SAO PAULO,SP,NESTLE BRASIL LTDA.,CHOCOLATE ALPINO NESTLÉ 150G
84869593000117,7896272000021,SAO JOSE DOS PINHAIS,PR,VALE FERTIL INDUSTRIAS ALIMENTICIAS LTDA,AZEITONA V FERTIL 24/200
7175867000127,7898530841339,SAO PAULO,SP,DOCE SABOR INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,DADINHO MINI POTE 150G
7604556000136,7896000593726,RECIFE,PE,EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,SUCO MAGUARY SUPERFRUTAS CRANBERRY 1L
61193496000151,7891048014295,SAO PAULO,SP,DR. OETKER BRASIL LTDA.,COB.SORVETE DR.OETKER 190G CARAMELO
30153506000100,7896000717511,NOVA IGUACU,RJ,NIELY DO BRASIL INDUSTRIAL LTDA,SHAMPOO NIELY GOLD PÓS QUÍMICA
7604556000136,7896000595621,RECIFE,PE,EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,SUCO PRONTO MAGUARY LIFE TANGERINA TP 1 LT
43623792000163,7896056401471,GUARULHOS,SP,GTEX BRASIL INDUSTRIA E COMERCIO S.A. EM RECUPERACAO JUDICIAL,"EM PÓ URCA COCO 0,5 KG"
