cnpj_store,gtin,category,cnpj_manufacturer,city,state,name,description
41185455000378,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
75315333008002,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
41185455001501,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
5154589000368,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
75315333008274,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
47508411152681,7891167011847,CONSERVAS E ENLATADOS,2279324000489,SAO PAULO,SP,GDC ALIMENTOS S.A,PATÊ DE ATUM GOMES DA COSTA TRADICIONAL
47508411134004,7891167011847,CONSERVAS E ENLATADOS,2279324000489,SAO PAULO,SP,GDC ALIMENTOS S.A,PATÊ DE ATUM GOMES DA COSTA TRADICIONAL
76430438007184,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
76430438007184,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
3720882000905,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
3720882000905,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
39346861029909,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
39346861029909,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
41185455000378,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
41185455000378,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
8540603000198,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
8540603000198,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
39346861026802,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
39346861026802,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
5154589000368,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
5154589000368,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
32860231000676,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
32860231000676,78936126,IOGURTES E SOBREMESAS,60409075000152,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE GREGO LIMAO 90G NESTLE
6057223035552,7897042008766,DESODORANTES,1856022000110,UBERABA,MG,MASTER LINE DO BRASIL LTDA,DESODORANTE ROLL-ON SKALA 60ML MASCULINO ACTIVE UNIT
75315333008002,7896005806203,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,"CHOCOLATTO COM 10 CAPSULAS CARAMELLO 10,5G 3 CORACOES"
3720882000905,7896005806203,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,"CHOCOLATTO COM 10 CAPSULAS CARAMELLO 10,5G 3 CORACOES"
76430438007184,7891048061718,"BOLOS, BISCOITOS E BOLACHAS",61193496000151,SAO PAULO,SP,DR. OETKER BRASIL LTDA.,MISTURA PARA BOLO SABOR LARANJA DR. OETKER 450G
47508411152681,7891048061718,DOCES E SOBREMESAS,61193496000151,SAO PAULO,SP,DR. OETKER BRASIL LTDA.,MISTURA PARA BOLO SABOR LARANJA DR. OETKER 450G
